isin,label,class_code,geo_code,sri,source,confidence
BE0974293251,Anheuser-Busch InBev,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
CH0012032048,Roche Holding,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
CH0019087102,Pictet (ch) Swiss Equities I Dy C,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
CH0140909257,UBS (CH) Money Market Fund EUR -I-B-,monetaire,,,reporting_mandat_valide,high
CH0210483332,Cie Financiere Richemont,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
CH1152838327,Enetia Energy Transition Dis (clean),actions,monde,,reporting_mandat_valide,high
CH1243598427,Sandoz Group SA,actions,europe,,reporting_mandat_valide,high
DE0005933956,ISHARES CORE EURO STOXX50,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE0007030009,Rheinmetall,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE0007164600,SAP SE,actions,europe,,reporting_mandat_valide,high
DE0007236101,Siemens,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE0008404005,Allianz,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE0008430026,Munchener,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE000A0Q4R85,iShares MSCI Brazil UCITS ETF (DE) Acc,actions,emergents,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE000A1C5D13,Acatis Value Event Fonds B,alternatifs,,,excel_categories_run_reel,medium
DE000A1EWWW0,adidas,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DE000LEG1110,LEG Immobilien,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
DK0062498333,Novo Nordisk Cl.b,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
ES0113900J37,Banco Santander,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
ES0144580Y14,Iberdrola,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000044448,Nexans,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000045072,Credit Agricole,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000073272,Safran,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000120073,Air Liquide,actions,europe,,reporting_mandat_valide,high
FR0000120271,Totalenergies,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000120321,L'Oréal,actions,europe,,reporting_mandat_valide,high
FR0000120578,Sanofi,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000120628,AXA,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000121014,LVMH Moët Hennessy Louis Vuitton,actions,europe,,reporting_mandat_valide,high
FR0000121329,Thales,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000121667,EssilorLuxottica,actions,europe,,reporting_mandat_valide,high
FR0000121972,Schneider Electric SE,actions,europe,,reporting_mandat_valide,high
FR0000124141,Veolia Environnement,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000125007,Saint-Gobain,actions,europe,,reporting_mandat_valide,high
FR0000125486,Vinci SA,actions,europe,,reporting_mandat_valide,high
FR0000130577,Publicis Groupe,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000131104,BNP Paribas,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000172041,AXA Aedificandi A Acc,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000288946,AXA Court Terme AC,monetaire,,,excel_categories_run_reel,medium
FR0000293698,Ecofi Trésorerie C,monetaire,,,excel_categories_run_reel,medium
FR0000295230,Comgest Renaissance Europe C,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
FR0000422842,Pluvalca Allcaps A,actions,,,excel_categories_run_reel,medium
FR0000974149,ODDO BHF Avenir Europe CR-EUR Acc,actions,europe,,excel_categories_run_reel+geo_nom_valide_cgp_20260724,medium
